Invoice ID,Branch,Yangon,Naypyitaw,Mandalay,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,branch_city_num,branch_city,Day,Month_numeric,Year,Month_string
750-67-8428,A,1,0,0,Normal,Male,Health and beauty,74.69,7,26.1415,548.9714999999999,2019-01-05,01:08:00 PM,Ewallet,9.1,2,Yangon,5,1,2019,January
226-31-3081,C,0,1,0,Normal,Male,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29:00 AM,Cash,9.6,1,Naypyitaw,8,3,2019,March
631-41-3108,A,1,0,0,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,01:23:00 PM,Credit card,7.4,2,Yangon,3,3,2019,March
123-19-1176,A,1,0,0,Normal,Male,Health and beauty,58.22,8,23.28800000000001,489.048,2019-01-27,08:30:00 PM,Ewallet,8.4,2,Yangon,27,1,2019,January
373-73-7910,A,1,0,0,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37:00 AM,Ewallet,5.3,2,Yangon,8,2,2019,February
699-14-3026,C,0,1,0,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,06:30:00 PM,Ewallet,4.1,1,Naypyitaw,25,3,2019,March
355-53-5943,A,1,0,0,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,02:36:00 PM,Ewallet,5.8,2,Yangon,25,2,2019,February
315-22-5665,C,0,1,0,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00 AM,Ewallet,8.0,1,Naypyitaw,24,2,2019,February
665-32-9167,A,1,0,0,Normal,Male,Health and beauty,36.26,2,3.6260000000000048,76.146,2019-01-10,05:15:00 PM,Credit card,7.2,2,Yangon,10,1,2019,January
692-92-5582,B,0,0,1,Normal,Male,Food and beverages,54.84,3,8.226,172.746,2019-02-20,01:27:00 PM,Credit card,5.9,0,Mandalay,20,2,2019,February
351-62-0822,B,0,0,1,Normal,Male,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,06:07:00 PM,Ewallet,4.5,0,Mandalay,6,2,2019,February
529-56-3974,B,0,0,1,Normal,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,05:03:00 PM,Cash,6.8,0,Mandalay,9,3,2019,March
365-64-0515,A,1,0,0,Normal,Male,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25:00 AM,Ewallet,7.1,2,Yangon,12,2,2019,February
252-56-2699,A,1,0,0,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,04:48:00 PM,Ewallet,8.2,2,Yangon,7,2,2019,February
829-34-3910,A,1,0,0,Normal,Male,Health and beauty,71.38,10,35.69,749.49,2019-03-29,07:21:00 PM,Cash,5.7,2,Yangon,29,3,2019,March
299-46-1805,B,0,0,1,Normal,Male,Sports and travel,93.72,6,28.116,590.436,2019-01-15,04:19:00 PM,Cash,4.5,0,Mandalay,15,1,2019,January
656-95-9349,A,1,0,0,Normal,Male,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03:00 AM,Credit card,4.6,2,Yangon,11,3,2019,March
765-26-6951,A,1,0,0,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39:00 AM,Credit card,6.9,2,Yangon,1,1,2019,January
329-62-1586,A,1,0,0,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,06:00:00 PM,Credit card,8.6,2,Yangon,21,1,2019,January
319-50-3348,B,0,0,1,Normal,Male,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,03:30:00 PM,Ewallet,4.4,0,Mandalay,11,3,2019,March
300-71-4605,C,0,1,0,Normal,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24:00 AM,Ewallet,4.8,1,Naypyitaw,25,2,2019,February
